0,000000	70,000000	0,000000
0,106710	69,640000	0,000000
0,214061	69,910000	0,000000
0,319730	70,180000	0,000000
0,425833	70,090000	0,000000
0,532096	69,450000	0,000000
0,638440	70,180000	0,000000
0,746481	71,450000	0,000000
0,847507	70,550000	0,000000
0,954353	70,640000	0,000000
1,061153	69,730000	0,000000
1,167262	69,640000	0,000000
1,273459	69,910000	0,000000
1,382098	69,360000	0,000000
1,483025	69,730000	0,000000
1,589463	69,450000	0,000000
1,696189	69,640000	0,000000
1,801980	69,820000	0,000000
1,910061	70,270000	0,000000
2,017256	70,730000	0,000000
2,118354	70,000000	0,000000
2,223552	69,730000	0,000000
2,332080	70,640000	0,000000
2,437418	70,550000	0,000000
2,543962	70,730000	0,000000
2,649937	70,640000	0,000000
2,752675	71,180000	0,000000
2,858513	70,090000	0,000000
2,965728	70,270000	0,000000
3,071564	70,360000	0,000000
3,178174	70,090000	0,000000
3,285017	69,820000	0,000000
3,391086	58,000000	0,000000
3,498045	27,450000	13,000000
3,599775	10,820000	13,000000
3,707922	14,550000	13,000000
3,813232	14,910000	13,000000
3,915485	13,270000	13,000000
4,021881	7,450000	13,000000
4,126377	5,910000	13,000000
4,230967	3,640000	13,000000
4,338384	2,300000	13,000000
4,444868	1,120000	13,000000
4,547660	1,400000	13,000000
4,651701	1,400000	13,000000
4,758884	3,450000	13,000000
4,865455	4,910000	13,000000
4,968949	5,640000	13,000000
5,074633	6,360000	13,000000
5,180715	7,450000	13,000000
5,287587	8,180000	13,000000
5,393790	8,090000	13,000000
5,500359	7,820000	13,000000
5,606667	10,000000	13,000000
5,710709	11,820000	13,000000
5,815465	15,910000	13,000000
5,922338	17,360000	13,000000
6,028793	19,360000	13,000000
6,130892	21,180000	13,000000
6,239747	22,550000	13,000000
6,345692	23,910000	13,000000
6,450643	26,820000	13,000000
6,556867	27,270000	13,000000
6,666831	29,270000	13,000000
6,767201	33,900000	13,000000
6,868661	34,500000	13,000000
6,972329	36,300000	13,000000
7,073191	37,600000	13,000000
7,170709	35,700000	13,000000
7,273671	34,400000	13,000000
7,376148	34,100000	13,000000
7,479867	37,200000	13,000000
7,581055	38,300000	13,000000
7,683199	37,300000	13,000000
7,789856	38,000000	13,000000
7,898301	38,500000	13,000000
8,002759	38,000000	13,000000
8,109159	38,000000	13,000000
8,215995	38,900000	13,000000
8,319001	37,100000	13,000000
8,421130	37,300000	13,000000
8,522890	38,000000	13,000000
8,625326	36,800000	13,000000
8,728336	37,200000	13,000000
8,828032	36,200000	13,000000
8,929689	35,900000	13,000000
9,031615	36,300000	13,000000
9,133858	36,000000	13,000000
9,236670	36,100000	13,000000
9,337925	34,900000	13,000000
9,441812	36,500000	13,000000
9,543371	38,000000	13,000000
9,648917	39,900000	13,000000
9,759893	41,400000	13,000000
9,866839	42,200000	13,000000
9,972476	46,200000	8,670000
10,078364	48,700000	4,330000
10,186644	48,300000	4,330000
10,297505	48,300000	4,330000
10,402368	47,600000	6,500000
10,508389	47,800000	6,500000
10,618874	47,700000	6,500000
10,727296	45,200000	10,830000
10,828137	43,300000	13,000000
10,932254	40,900000	13,000000
