0,000000	69,640000
0,087401	69,730000
0,137009	70,360000
0,197134	70,180000
0,252554	69,730000
0,306370	69,000000
0,360452	69,640000
0,415207	69,360000
0,470555	69,640000
0,524435	68,910000
0,577315	68,910000
0,640209	70,360000
0,695331	69,550000
0,750935	69,550000
0,841628	70,270000
0,948489	69,640000
1,054560	70,090000
1,161176	69,180000
1,266715	68,910000
1,374794	69,450000
1,479783	66,360000
1,583729	27,450000
1,690727	11,000000
1,797086	11,550000
1,898174	11,090000
2,004866	2,550000
2,111076	3,550000
2,213757	4,090000
2,321735	5,730000
2,426445	4,640000
2,533315	5,180000
2,634990	4,180000
2,741600	4,180000
2,849151	5,450000
2,954388	6,360000
3,062303	6,270000
3,163329	6,820000
3,271879	7,550000
3,377918	7,000000
3,482723	8,730000
3,589089	8,820000
3,696628	9,450000
3,798785	9,730000
3,906216	11,450000
4,011342	11,910000
4,117977	10,450000
4,221871	12,000000
4,326437	11,180000
4,434707	11,550000
4,536503	12,450000
4,643485	13,000000
4,749993	14,910000
4,856030	15,360000
4,958439	17,640000
5,064037	17,820000
5,170033	19,180000
5,276499	19,000000
5,384109	18,910000
5,493474	19,640000
5,591306	19,200000
5,697530	21,000000
5,802123	19,600000
5,900745	18,000000
6,001945	19,900000
6,103002	20,000000
6,201382	18,800000
6,305380	18,800000
6,406735	20,300000
6,508750	21,000000
6,607115	21,400000
6,709085	22,500000
6,811596	23,300000
6,914583	25,200000
7,018038	24,200000
7,115006	24,300000
7,218616	24,800000
7,321029	24,100000
7,424064	23,000000
7,524281	23,500000
7,624060	25,400000
7,725980	26,200000
7,829287	24,600000
7,931262	24,300000
8,033810	25,400000
8,134781	26,300000
8,239009	24,800000
8,336195	27,400000
8,443098	28,400000
8,543598	28,500000
8,646102	28,800000
8,750376	29,800000
8,852617	29,300000
8,953703	29,600000
9,056092	30,200000
9,163149	31,000000
9,269349	31,200000
9,376112	30,200000
9,483607	30,900000
9,588522	32,000000
9,691563	32,400000
9,802314	33,500000
9,903878	33,700000
10,008151	33,100000
10,109869	34,200000
10,210659	35,200000
10,313470	34,200000
10,421024	35,000000
10,523161	36,200000
10,628601	36,200000
10,734173	35,100000
10,838845	35,700000
10,945167	35,800000
11,048278	37,200000
11,157109	35,300000
11,260594	36,900000
11,365192	37,500000
11,472070	39,700000
11,574587	38,300000
11,680710	38,600000
11,786646	39,800000
11,889932	42,100000
11,992319	57,630000
12,102632	60,200000
12,209450	52,140000
12,311672	25,560000
12,413667	9,250000
12,521029	17,200000
12,627240	29,560000
12,729139	23,000000
12,831546	23,560000
12,933673	21,560000
13,038147	22,780000
13,138738	22,560000
13,241427	22,330000
13,344680	22,000000
13,445586	23,110000
13,548173	22,780000
13,652534	22,000000
13,748345	24,110000
13,850638	23,780000
13,955937	21,440000
14,060255	7,360000
